date,real_gdp,real_household_consumption,real_govt_consumption,real_gfcf_total,real_exports,real_imports,real_household_disposable_income,industrial_production,industrial_confidence,unemployment_rate,employment_rate,employment_expectations,house_price_real,construction_confidence,retail_sales_volume,retail_confidence,cpi_index,core_cpi_index,food_price_index,energy_price_index,services_price_index,unit_labor_cost,long_term_rate,short_term_rate,mortgage_rate,credit_to_private_nonfin_sector,household_mortgage_loans,euro_area_household_net_worth_growth,household_credit_to_gdp,corporate_credit_to_gdp,government_debt_to_gdp,fx_rate_to_usd,real_effective_exchange_rate,consumer_confidence,economic_sentiment_indicator,services_confidence,geopolitical_risk,share_price_index,construction_weather_constraint,heating_degree_days,cooling_degree_days
2010-04-01,87642.3,45518.6,19067.8,18680.9,40206.1,37635.1,NA,91.49625,-5.933333333333334,5.366667,70.57645,98,99.4891,-13.133333333333333,99.5658,6.7,109.64999999999999,108.03666666666668,112.90333333333334,119.33666666666666,108.83,100.076,3.2869333333,0.6862715667,2.6566666666666667,147.9,NA,3.034151431329457,54.6,93.3,90.9,0.7869761905,99.23554,-8.1,101.96666666666667,14.2,91.39132944742839,2395.0966796875,13.6,573.12,3.6
2010-07-01,88677.8,46250.5,19207.9,19146.2,41760.1,38473.9,NA,93.18154,-3.4333333333333336,5.166667,70.83257,104.33333333333333,99.7202,-13.966666666666667,100.4874,2.2666666666666666,109.40333333333334,107.80333333333333,112.88333333333334,118.47666666666667,109.60666666666667,99.676,2.8803,0.8749394,2.6766666666666667,147.8,NA,2.8181366272510333,54.5,93.3,91.2,0.7737878788,98.63519,-3.6,105.63333333333334,20.333333333333332,77.18126424153645,2537.239990234375,9.066666666666666,268.87,21.33
2010-10-01,89539.7,46187.8,19150.4,19578.3,41927.2,38365,NA,94.16208,-0.7666666666666667,4.866667,71.21545,104.36666666666666,100.5169,-11.933333333333334,100.1329,4.866666666666666,110.43,108.79666666666667,114.06333333333333,120.15,109.55,99.761,3.0889,1.0204693,2.6633333333333336,148.2,NA,2.76166129141846,54.8,93.3,88.6,0.7367457181,98.97543,-3.8666666666666667,104.46666666666667,12.9,85.96700032552083,2799.2433268229165,17.733333333333334,1433.6599999999999,0
2011-01-01,90433.7,46069.3,19214.8,19947.8,42099.8,39625.3,NA,95.81673,0.3333333333333333,5.133333,70.88941,104.83333333333333,101.9272,-11.9,98.85689,0.9333333333333333,111.90666666666667,109.26666666666667,117.46666666666667,127.64666666666666,111.04,100.132,3.6330333333,1.0931699333,2.6366666666666667,145.6,NA,2.175907508438124,53.5,92.1,86,0.7314082471,98.81368,-5.1,105.63333333333333,16.466666666666665,102.10813649495442,2874.683349609375,15.5,1546.9,0
2011-04-01,90400,46396,19114.6,19980.8,42962.3,39493.8,NA,96.73598,-0.7000000000000001,4.8,71.08695,105.5,97.6322,-9.8,98.57333,-7.1000000000000005,113.7,111.01,118.33333333333333,131.77333333333334,112.52666666666667,101.209,3.5752333333,1.4116307667,2.84,145.9,NA,2.240872822888673,54,91.9,87.1,0.6947835498,99.72678,-7.166666666666666,103.33333333333333,13.8,93.58484395345052,2721.8099772135415,5.433333333333334,449.07,0.12
2011-07-01,90896.2,46549.7,19028.1,20511.1,43283.6,40206.3,NA,96.49084,-5.2,4.333333,71.34908,101.66666666666667,102.1369,-5.199999999999999,98.67966,-8.133333333333333,113.58333333333333,110.91333333333334,117.78333333333333,131.80333333333334,113.73666666666666,101.089,2.9443333333,1.5620535,2.93,145.3,NA,0.820671172450127,53.6,91.7,89.8,0.7082332643,99.28191,-10.1,100.13333333333333,12.433333333333334,83.075592041015625,2070.5633544921875,7.2,183.4,17.32
2011-10-01,91280.7,46603.5,19201.3,20886.8,43429.3,39873.6,NA,97.53267,-8.833333333333332,5.233333,71.04675,100.7,101.9875,-6.966666666666667,98.71511,-8.733333333333334,114.49333333333334,111.71000000000001,118.99333333333333,133.85666666666665,113.04,101.555,3.1260333333,1.4955447,3.026666666666667,145.8,NA,-0.09729322852252142,53.4,92.4,89.5,0.7422099567,99.87202,-16.3,94.93333333333334,6.533333333333333,81.61297861735027,1938.3600260416667,3.933333333333333,1283.25,0
2012-01-01,91664.4,47173.8,19158,20450.9,43554.4,40749.3,NA,96.76662,-5.066666666666666,4.866667,71.20834,102.2,110.004,-5.466666666666667,99.1759,-4.1,114.95,111.56,121.32333333333334,136.74333333333334,114.47333333333333,103.109,3.0464,1.0429891667,2.94,145.5,NA,0.3411427675882983,53.1,92.5,91,0.762537518,98.56741,-14.933333333333334,96.83333333333334,5.266666666666667,86.94692484537761,2158.0266927083335,14.466666666666667,1617.35,0
2012-04-01,91358.5,46820,19203.7,19970.8,43573.7,40474.2,NA,98.66641,-5.266666666666667,5.2,71.5187,97.63333333333334,110.3612,-2.3666666666666667,98.25432,-6.5,116.26666666666667,113.20666666666666,121.13,137.42333333333335,115.20333333333333,103.178,2.5353333333,0.6960273333,2.76,146.5,NA,-0.532105762289814,52.9,93.6,94.1,0.7798164251,98.99152,-11.200000000000001,100.16666666666667,12.2,84.00342559814453,1962.3966878255208,5.766666666666667,515.38,7.81
2012-07-01,91655.1,46379.6,19208.3,20886.2,44028.5,40086,NA,99.67759,-8.8,5.5,71.43436,94.33333333333333,111.6306,-5.766666666666667,97.75809,-9.299999999999999,116.30666666666667,112.96333333333334,121.94333333333333,139.09,116.38,103.239,2.0256666667,0.3585789333,2.6533333333333333,146.1,NA,-0.16371661807473847,52.7,93.4,93.3,0.799138274,98.32556,-12.8,95.36666666666667,4.5,75.65562947591145,2096.816650390625,7.233333333333333,193.37,21.68
