date,real_gdp,real_household_consumption,real_govt_consumption,real_gfcf_total,real_exports,real_imports,real_household_disposable_income,industrial_production,industrial_confidence,unemployment_rate,employment_rate,employment_expectations,house_price_real,construction_confidence,retail_sales_volume,retail_confidence,cpi_index,core_cpi_index,food_price_index,energy_price_index,services_price_index,unit_labor_cost,long_term_rate,short_term_rate,mortgage_rate,credit_to_private_nonfin_sector,household_mortgage_loans,euro_area_household_net_worth_growth,household_credit_to_gdp,corporate_credit_to_gdp,government_debt_to_gdp,fx_rate_to_usd,real_effective_exchange_rate,consumer_confidence,economic_sentiment_indicator,services_confidence,geopolitical_risk,share_price_index,construction_weather_constraint,heating_degree_days,cooling_degree_days
1955-01-01,NA,NA,NA,NA,NA,NA,NA,10.76482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-04-01,NA,NA,NA,NA,NA,NA,NA,11.00816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-07-01,NA,NA,NA,NA,NA,NA,NA,11.31984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955-10-01,NA,NA,NA,NA,NA,NA,NA,11.64267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-01-01,NA,NA,NA,NA,NA,NA,NA,11.53728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-04-01,NA,NA,NA,NA,NA,NA,NA,11.60655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-07-01,NA,NA,NA,NA,NA,NA,NA,11.9307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956-10-01,NA,NA,NA,NA,NA,NA,NA,11.96705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-01-01,NA,NA,NA,NA,NA,NA,NA,12.13956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8852907761,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-04-01,NA,NA,NA,NA,NA,NA,NA,12.38243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-07-01,NA,NA,NA,NA,NA,NA,NA,12.58966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957-10-01,NA,NA,NA,NA,NA,NA,NA,12.59305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-01-01,NA,NA,NA,NA,NA,NA,NA,12.78249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-04-01,NA,NA,NA,NA,NA,NA,NA,12.68106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-07-01,NA,NA,NA,NA,NA,NA,NA,12.70294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958-10-01,NA,NA,NA,NA,NA,NA,NA,12.81299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8858455121,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-01-01,NA,NA,NA,NA,NA,NA,NA,12.85119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8890964102,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-04-01,NA,NA,NA,NA,NA,NA,NA,13.51502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8878512823,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-07-01,NA,NA,NA,NA,NA,NA,NA,13.5712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8870688381,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959-10-01,NA,NA,NA,NA,NA,NA,NA,13.9438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8863808686,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960-01-01,19900.868565559256,10764.014547375378,5781.823775684134,4463.140954340274,2050.6531420182664,2254.304811547614,NA,14.34783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8911118701,NA,NA,NA,NA,NA,NA,NA,1959.9537543235738,0
1960-04-01,20366.405640582732,11042.60467940175,5827.832583974288,4516.514578105336,2028.8162270559678,2361.944011468623,NA,14.75788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8918797798,NA,NA,NA,NA,NA,NA,NA,517.4340652409701,0
1960-07-01,20622.01548790983,11029.644213202913,5870.0512503922055,4644.931566929668,2026.4258692037663,2445.8744625644918,NA,15.02702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8851623874,NA,NA,NA,NA,NA,NA,NA,171.1076247828141,0
1960-10-01,20907.890689412656,11302.341046366224,5892.892502734836,4841.235401171071,2140.0176663052557,2528.275316961964,NA,15.43604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA,1.8900653813,NA,NA,NA,NA,NA,NA,NA,1372.8773593203687,0
1961-01-01,21494.538674768093,11630.089915250286,5864.905693545789,5558.488824331759,2124.1566459734604,2528.8427479952397,NA,15.35585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,NA,NA,NA,NA,1.8948763229,NA,NA,NA,NA,NA,NA,NA,1704.1484137399605,0
1961-04-01,21419.308358583137,11342.611921930446,5922.711632166754,4996.601941235428,2205.4537125092697,2398.2595975982877,NA,15.39489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA,1.8961117611,NA,NA,NA,NA,NA,NA,NA,398.9427632756387,1.6008986190514745
1961-07-01,21688.454713460622,11686.651210435966,5975.121011168305,5091.163087137054,2217.5051000141184,2439.2133156521213,NA,15.55233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA,1.8830403407,NA,NA,NA,NA,NA,NA,NA,37.94288419616602,6.651605543734007
1961-10-01,21737.898848900604,11741.918854651705,6006.471257515498,5142.735069593592,2183.318002815446,2414.8877939647236,NA,15.69086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,1.8798112444,NA,NA,NA,NA,NA,NA,NA,1508.2122357771455,0
1962-01-01,22055.99440292738,11954.077613721749,6047.886715059828,5328.629420719071,2284.086526022313,2519.122407686077,NA,15.83121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,1.88029573,NA,NA,NA,NA,NA,NA,NA,1982.6960511407888,0
1962-04-01,22051.16877409315,12093.360701485211,6069.673755755875,5339.564382549982,2359.7313922201038,2531.8772704775424,NA,15.81679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA,1.8780452946,NA,NA,NA,NA,NA,NA,NA,610.4903848988017,0.7656471656333138
1962-07-01,22236.22545318232,12327.918787534758,6095.727843592853,5376.948439701882,2387.917695227313,2635.2484021917367,NA,16.05615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,1.8778515003,NA,NA,NA,NA,NA,NA,NA,163.7735335507148,7.005366283580852
1962-10-01,22256.44360065703,12518.828131598577,6145.4765932006485,5310.287711286445,2391.1048390302476,2761.686838954325,NA,15.9853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,1.8782560458,NA,NA,NA,NA,NA,NA,NA,1742.6138475562825,0
1963-01-01,22338.256569508165,12411.383231595286,6281.469895609847,5067.416453778854,2391.428533322733,2779.548581045274,NA,16.08215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA,1.8786436342,NA,NA,NA,NA,NA,NA,NA,2447.7886467802423,0
1963-04-01,22989.49374079871,12800.197217560371,6333.678472393002,5674.894871099255,2497.9986542333804,2920.962262903451,NA,16.61104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA,1.8785806511,NA,NA,NA,NA,NA,NA,NA,485.3055858501375,1.0440643167727004
1963-07-01,23239.48606122647,13094.598639219334,6385.585845848563,5547.754044868462,2551.2090160058233,2905.098864886213,NA,16.78707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA,1.8772531607,NA,NA,NA,NA,NA,NA,NA,82.99274983562083,14.92596789513964
1963-10-01,23713.28857230448,13206.523404618523,6425.29448453652,5801.485195819109,2575.710183990888,2909.440945836499,NA,17.1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,1.878902834,NA,NA,NA,NA,NA,NA,NA,1563.083011985193,0
1964-01-01,23951.84786441729,13354.5506146788,6582.24651849088,5857.185939607684,2586.466794325794,3070.196624655041,NA,17.68857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA,1.8785322025,NA,NA,NA,NA,NA,NA,NA,2203.1892141658363,0
1964-04-01,24298.649723304115,13210.52414002556,6652.602595761641,6072.632212752169,2588.7077548122334,3176.1335314762223,NA,17.89257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,NA,NA,NA,NA,NA,1.8783844344,NA,NA,NA,NA,NA,NA,NA,421.3208522058796,0
1964-07-01,24517.485804232914,13406.536218470805,6725.217697989367,6069.304180890587,2742.1388494504126,3195.1301356337235,NA,18.01637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.4,NA,NA,NA,NA,NA,1.877090858,NA,NA,NA,NA,NA,NA,NA,107.91876092885279,4.371149272888371
1964-10-01,25217.276225640195,13632.92513821018,6770.925302951927,6209.131564668913,2752.895459785319,3354.1835213524373,NA,18.20026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,1.8778684573,NA,NA,NA,NA,NA,NA,NA,1518.7171037907287,0
1965-01-01,24957.11296443874,13698.949250675969,6703.2800556295215,6116.422105667715,2756.2071013930563,3301.683815317161,NA,18.58251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,1.8783044943,NA,NA,NA,NA,NA,NA,NA,2088.571699996533,0
1965-04-01,25088.914498649614,13934.585379200465,6743.390298754272,6305.669511450727,2813.2519955534053,3437.8179214744227,NA,18.55957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA,1.8776237921,NA,NA,NA,NA,NA,NA,NA,640.5330459399414,1.0410114971330144
1965-07-01,25596.026222091088,14090.158886585386,6784.32885102991,6684.314459792464,2981.97142062129,3647.4713528126617,NA,18.97005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA,1.8767032696,NA,NA,NA,NA,NA,NA,NA,166.85758373975034,0.14830597809595844
1965-10-01,25711.12365649116,14245.732393970307,6840.402870517202,6680.4109036239915,2907.1731394961535,3759.600659170899,NA,18.86265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA,1.8780622515,NA,NA,NA,NA,NA,NA,NA,1580.6648575451825,0
1966-01-01,26533.01486081178,14287.943745989438,6911.963761098345,7068.5645144273885,2942.356219133243,3858.605039020317,NA,19.40818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,1.8791765683,NA,NA,NA,NA,NA,NA,NA,1814.3555740740987,0
1966-04-01,26500.27482518261,14731.21085518919,6948.459564291953,6967.422373190454,2963.396348144808,3856.656036775586,NA,19.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,NA,NA,NA,NA,NA,1.8786290997,NA,NA,NA,NA,NA,NA,NA,420.80684384104035,0
1966-07-01,26573.574889833868,14610.13470700265,6988.4443060302065,6976.080260589756,3071.809036566527,3900.668948226212,NA,19.45806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4,NA,NA,NA,NA,NA,1.8771562636,NA,NA,NA,NA,NA,NA,NA,132.67285188301412,0
1966-10-01,26810.080196340317,14542.864856565808,7054.9349405968305,7045.793770111305,3023.105495327923,3888.0127690927084,NA,20.06057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA,NA,NA,NA,NA,1.8791644562,NA,NA,NA,NA,NA,NA,NA,1409.2815035202154,0
1967-01-01,27045.1749344183,14969.266590157462,7129.156460571729,7074.945327395082,3047.8805584835527,3839.04100382954,NA,19.56941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.7,NA,NA,NA,NA,NA,1.8797942874,NA,NA,NA,NA,NA,NA,NA,1766.7448648854042,0
1967-04-01,27276.730878017843,14978.77732043646,7195.019588205863,7057.3042562491055,3138.639458184326,3918.5800321461415,NA,19.82403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,NA,NA,1.8784474176,NA,NA,NA,NA,NA,NA,NA,560.9977524552868,3.060940139927824
1967-07-01,27096.99476405359,14984.095663312877,7259.627701975018,6883.120573629041,3100.468431231984,3743.9592993840733,NA,19.52511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,NA,NA,1.8768461928,NA,NA,NA,NA,NA,NA,NA,78.48077696283923,7.307473315124204
1967-10-01,27533.305851111792,15240.430207356401,7298.984936780781,7120.06142849607,3211.9437656518367,4078.521570786505,NA,20.12512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,1.8787429538,NA,NA,NA,NA,NA,NA,NA,1416.4237450175049,0
1968-01-01,27881.394544354414,15458.194787296181,7341.253803753297,7354.775254523395,3327.228732898635,4235.058523227212,NA,20.37279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.9,NA,NA,NA,NA,NA,1.8806397147,NA,NA,NA,NA,NA,NA,NA,1857.60520590061,0
1968-04-01,28211.170594841482,15612.522556710052,7402.925185078399,7159.122012976738,3403.9442802177246,3999.155238871335,NA,21.17357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,NA,NA,NA,NA,NA,1.879338871,NA,NA,NA,NA,NA,NA,NA,424.3017503114728,2.1809343505918632
1968-07-01,28722.167568164878,16092.994109545278,7465.023271117594,7443.906453703495,3411.6880436764186,4279.392156566211,NA,21.69887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,1.8776916201,NA,NA,NA,NA,NA,NA,NA,132.1746119895291,9.204495439225242
1968-10-01,28979.460198880326,15377.341601674976,7517.683652892141,7351.347131478006,3618.528696574724,4271.596147587288,NA,21.65833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,NA,NA,NA,NA,NA,1.8786460567,NA,NA,NA,NA,NA,NA,NA,1549.8480083618583,0
1969-01-01,29261.623378202974,15650.97273831658,7543.963643224816,7000.252281479137,3814.712337381965,4251.8347450805895,NA,22.70654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,1.8796150278,NA,NA,NA,NA,NA,NA,NA,2082.735832549634,0
1969-04-01,29815.35810022749,16058.640489343557,7591.779671480543,7316.565445105088,3837.321138734037,4491.685375754909,NA,23.41078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,NA,NA,NA,NA,NA,1.8800849788,NA,NA,NA,NA,NA,NA,NA,463.0540827038237,0
1969-07-01,30532.71875995428,16265.265297042193,7641.151916928844,7552.505388134048,4038.0613991970363,4647.531542589888,NA,24.20263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,NA,NA,1.8799735471,NA,NA,NA,NA,NA,NA,NA,129.42498479713163,3.349553708663763
1969-10-01,30843.48925687884,16599.194942782633,7691.3273712507325,7645.465075094764,4394.4488152236945,4684.981990786106,NA,24.13582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,NA,NA,NA,NA,NA,1.8808141295,NA,NA,NA,NA,NA,NA,NA,1592.1007223883064,0
1970-01-01,31425.70756243259,16752.804017213202,7760.403334379213,7662.605690321706,4653.180153163539,5080.752801038874,NA,24.87717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,1.8798742275,85.42111,NA,NA,NA,NA,NA,NA,2093.888959941114,0
1970-04-01,32239.952001062047,16741.736114470386,7848.806511028383,8299.260687721839,4694.289328309212,5384.57511298644,NA,25.71621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5,NA,NA,NA,NA,NA,1.8813688655,84.62542,NA,NA,NA,NA,NA,NA,640.257097691242,0.8120500241565448
1970-07-01,32864.017169993684,17220.842146837345,7946.220687228108,8503.171451932569,4864.577425717604,5479.730830175377,NA,26.13083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4,NA,NA,NA,NA,NA,1.8796004932000001,85.33327,NA,NA,NA,NA,NA,NA,130.11069429449495,2.5774345653943143
1970-10-01,33272.265369369736,17387.723121959512,8007.038659125023,8599.984649469852,4886.563738045664,5617.197165715113,NA,26.0783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,1.8785782287,85.09357,NA,NA,NA,NA,NA,NA,1461.3866650579646,0
1971-01-01,33329.18304279914,17558.532962990386,8056.134801523028,8987.787941129927,4880.861738585726,5574.911218278805,NA,27.12716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,NA,NA,NA,NA,NA,1.8796973903,83.87157,NA,NA,NA,NA,NA,NA,2036.5904961641518,0
1971-04-01,34047.3850942201,18176.514822630274,8103.800228114957,9559.708965402904,5004.986049973478,5704.236152036754,NA,27.14955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,1.8252145665,84.86404,NA,NA,NA,NA,NA,NA,446.6115091991786,0
